Area,Year,Quarter,Overall_hpi,Overall_YoY,Low_hpi,Low_YoY,Mid_hpi,Mid_YoY,High_hpi,High_YoY
"Houston-The Woodlands-Sugar Land",2007,4,125.088387983,0.008074359,130.517338891,-0.013182213,121.807169157,0.003040236,123.217692456,0.032563098
"Houston-The Woodlands-Sugar Land",2008,1,124.369706899,0.001251532,129.188494216,-0.017156168,121.482333585,0.001705918,122.682417944,0.016628342
"Houston-The Woodlands-Sugar Land",2008,2,125.840402560,-0.004604947,130.602531750,-0.022093614,122.790955643,-0.000327969,123.984497489,0.005842214
"Houston-The Woodlands-Sugar Land",2008,3,126.135537547,-0.001975040,130.997625132,-0.014088332,122.681739642,-0.003536455,124.568925365,0.008316090
"Houston-The Woodlands-Sugar Land",2008,4,123.843060988,-0.009955576,127.831478108,-0.020578574,121.183570263,-0.005119558,122.141392964,-0.008734942
"Houston-The Woodlands-Sugar Land",2009,1,122.779102364,-0.012789324,127.014572217,-0.016827520,120.883315174,-0.004930909,120.310292620,-0.019335495
"Houston-The Woodlands-Sugar Land",2009,2,124.998819819,-0.006687699,129.979170048,-0.004772967,122.642681381,-0.001207534,122.227809761,-0.014168607
"Houston-The Woodlands-Sugar Land",2009,3,125.757719745,-0.002995331,131.372363549,0.002860650,123.097442515,0.003388465,122.735452979,-0.014718537
"Houston-The Woodlands-Sugar Land",2009,4,125.491740293,0.013312649,131.739707702,0.030573295,123.419214229,0.018448408,121.554558235,-0.004804552
"Houston-The Woodlands-Sugar Land",2010,1,124.518875920,0.014169948,129.724623300,0.021336536,122.400905486,0.012554175,121.515729341,0.010019398
"Houston-The Woodlands-Sugar Land",2010,2,125.983558462,0.007877983,131.423928616,0.011115308,123.443319603,0.006528218,123.099440967,0.007131202
"Houston-The Woodlands-Sugar Land",2010,3,124.625272244,-0.009004993,128.314132207,-0.023279107,122.361005202,-0.005982555,122.569924211,-0.001348663
"Houston-The Woodlands-Sugar Land",2010,4,122.464340057,-0.024124298,127.076842513,-0.035394531,119.390992611,-0.032638529,120.136916201,-0.011662598
"Houston-The Woodlands-Sugar Land",2011,1,121.567077962,-0.023705626,125.304991003,-0.034069339,118.527094816,-0.031648545,119.891732859,-0.013364496
"Houston-The Woodlands-Sugar Land",2011,2,123.200272611,-0.022092453,126.881933563,-0.034559878,119.950827582,-0.028292272,121.868179159,-0.010002172
"Houston-The Woodlands-Sugar Land",2011,3,123.519603315,-0.008871947,127.997612280,-0.002466758,119.930921499,-0.019859952,121.864504784,-0.005755240
"Houston-The Woodlands-Sugar Land",2011,4,122.260306613,-0.001666064,126.285033646,-0.006230945,118.944471942,-0.003739986,120.773851113,0.005301741
"Houston-The Woodlands-Sugar Land",2012,1,123.047752758,0.012179899,128.472680942,0.025279838,119.039701138,0.004324802,121.197065087,0.010887591
"Houston-The Woodlands-Sugar Land",2012,2,125.648265650,0.019870029,129.070809941,0.017251284,121.947058333,0.016642075,124.831867000,0.024318799
"Houston-The Woodlands-Sugar Land",2012,3,126.555362391,0.024577143,130.258795514,0.017665823,123.156949811,0.026899053,125.514812087,0.029953818
"Houston-The Woodlands-Sugar Land",2012,4,126.990935534,0.038693088,131.130163676,0.038366621,123.033315094,0.034376067,125.857247591,0.042090207
"Houston-The Woodlands-Sugar Land",2013,1,129.686550887,0.053953022,133.286259919,0.037467724,125.543813084,0.054638174,128.898424438,0.063544107
"Houston-The Woodlands-Sugar Land",2013,2,134.394442421,0.069608416,137.875091149,0.068212798,130.328802277,0.068732645,133.867420451,0.072381785
"Houston-The Woodlands-Sugar Land",2013,3,137.281233195,0.084752400,140.910207728,0.081771155,133.100925233,0.080742300,136.971400429,0.091276783
"Houston-The Woodlands-Sugar Land",2013,4,138.404409881,0.089876291,142.972700996,0.090311313,134.552351102,0.093625340,137.148764153,0.089716856
"Houston-The Woodlands-Sugar Land",2014,1,141.191290171,0.088711891,145.591261504,0.092320105,136.787015801,0.089556007,140.246811038,0.088041313
"Houston-The Woodlands-Sugar Land",2014,2,145.543653708,0.082958871,149.442541228,0.083898041,142.425763357,0.092818785,144.470028425,0.079202302
"Houston-The Woodlands-Sugar Land",2014,3,148.100991335,0.078814546,153.392125867,0.088580652,144.183253147,0.083262591,146.542573500,0.069877164
"Houston-The Woodlands-Sugar Land",2014,4,149.279981418,0.078578215,154.791507983,0.082664780,145.359659092,0.080320469,147.251454958,0.073662281
"Houston-The Woodlands-Sugar Land",2015,1,150.872249316,0.068566263,157.529161101,0.081995989,147.146397268,0.075733660,147.875460864,0.054394461
"Houston-The Woodlands-Sugar Land",2015,2,154.973001419,0.064787075,162.563448135,0.087799008,151.880468578,0.066383391,150.737956185,0.043385661
"Houston-The Woodlands-Sugar Land",2015,3,155.887049345,0.052572625,164.606481280,0.073109068,152.885839632,0.060357817,150.211994203,0.025039963
"Houston-The Woodlands-Sugar Land",2015,4,155.018129038,0.038438828,164.918443321,0.065423067,151.678198236,0.043468312,148.065865403,0.005530746
"Houston-The Woodlands-Sugar Land",2016,1,156.257757618,0.035695817,167.897841228,0.065820703,152.625903857,0.037238469,147.274016272,-0.004067237
"Houston-The Woodlands-Sugar Land",2016,2,158.610382083,0.023471060,171.409601218,0.054416618,155.684685616,0.025047440,149.438267359,-0.008622173
"Houston-The Woodlands-Sugar Land",2016,3,159.220773125,0.021385508,172.987245699,0.050913939,155.953174102,0.020062907,149.475021073,-0.004906220
"Houston-The Woodlands-Sugar Land",2016,4,158.813886284,0.024485892,173.984686978,0.054974104,155.393362850,0.024493728,147.220614905,-0.005708611
"Houston-The Woodlands-Sugar Land",2017,1,159.796915267,0.022649484,175.195268444,0.043463496,156.644535787,0.026329946,147.800826708,0.003577076
"Houston-The Woodlands-Sugar Land",2017,2,162.523666034,0.024672306,178.434492370,0.040983066,159.328974710,0.023408141,151.229514088,0.011986533
"Houston-The Woodlands-Sugar Land",2017,3,162.577682509,0.021083363,179.539275817,0.037875798,159.657740480,0.023754350,150.624121280,0.007687573
"Houston-The Woodlands-Sugar Land",2017,4,161.552802920,0.017246077,179.159027722,0.029740207,158.070171656,0.017226017,148.143166290,0.006266455
"Houston-The Woodlands-Sugar Land",2018,1,162.643666059,0.017814804,181.134369156,0.033899892,159.694693866,0.019471844,147.591433084,-0.001416728
"Houston-The Woodlands-Sugar Land",2018,2,166.559837993,0.024834364,186.893373195,0.047406085,164.528952428,0.032636736,151.914357276,0.004528502
"Houston-The Woodlands-Sugar Land",2018,3,167.116159563,0.027915744,188.120870826,0.047797870,164.433296100,0.029911206,151.680486508,0.007013254
"Houston-The Woodlands-Sugar Land",2018,4,165.985102767,0.027435610,188.296950000,0.051004531,163.027560688,0.031361951,149.438167892,0.008741554
"Houston-The Woodlands-Sugar Land",2019,1,167.338577630,0.028866242,190.523451281,0.051834901,164.325397284,0.028997227,150.608739490,0.020443641
"Houston-The Woodlands-Sugar Land",2019,2,170.330046359,0.022635759,195.156245085,0.044211690,167.811829332,0.019953186,154.046050517,0.014032203
"Houston-The Woodlands-Sugar Land",2019,3,170.626410306,0.021004855,195.834714742,0.041004721,168.546361019,0.025013577,153.465384669,0.011767487
"Houston-The Woodlands-Sugar Land",2019,4,170.274850189,0.025844171,196.718814780,0.044726506,166.994078288,0.024330349,152.136170902,0.018054310
"Houston-The Woodlands-Sugar Land",2020,1,172.516538778,0.030943021,201.098503851,0.055505254,168.938884169,0.028075312,152.921035897,0.015353002
"Houston-The Woodlands-Sugar Land",2020,2,174.693064383,0.025615081,204.209904339,0.046391850,172.049932150,0.025255089,155.400869058,0.008794893
"San Antonio-New Braunfels",2013,1,100.000000000,,,,,,,
"San Antonio-New Braunfels",2013,2,102.750186039,,,,,,,
"San Antonio-New Braunfels",2013,3,103.858572403,,,,,,,
"San Antonio-New Braunfels",2013,4,104.548008852,,,,,,,
"San Antonio-New Braunfels",2014,1,105.516924781,0.055169247,,,,,,
"San Antonio-New Braunfels",2014,2,107.703117797,0.048203628,,,,,,
"San Antonio-New Braunfels",2014,3,108.480183049,0.044499077,,,,,,
"San Antonio-New Braunfels",2014,4,109.516397618,0.047522557,,,,,,
"San Antonio-New Braunfels",2015,1,111.190930474,0.053773417,,,,,,
"San Antonio-New Braunfels",2015,2,113.039039908,0.049542875,,,,,,
"San Antonio-New Braunfels",2015,3,114.319924716,0.053832336,,,,,,
"San Antonio-New Braunfels",2015,4,114.361110128,0.044237325,,,,,,
"San Antonio-New Braunfels",2016,1,115.964262660,0.042929150,,,,,,
"San Antonio-New Braunfels",2016,2,118.174841596,0.045433875,,,,,,
"San Antonio-New Braunfels",2016,3,119.647652376,0.046603666,,,,,,
"San Antonio-New Braunfels",2016,4,119.891885248,0.048362376,,,,,,
"San Antonio-New Braunfels",2017,1,121.132269621,0.044565513,,,,,,
"San Antonio-New Braunfels",2017,2,123.787740701,0.047496565,,,,,,
"San Antonio-New Braunfels",2017,3,124.613609806,0.041504846,,,,,,
"San Antonio-New Braunfels",2017,4,124.608676320,0.039342037,,,,,,
"San Antonio-New Braunfels",2018,1,126.036990890,0.040490624,,,,,,
"San Antonio-New Braunfels",2018,2,128.519571542,0.038225359,,,,,,
"San Antonio-New Braunfels",2018,3,129.807769875,0.041682125,,,,,,
"San Antonio-New Braunfels",2018,4,129.730657211,0.041104528,,,,,,
"San Antonio-New Braunfels",2019,1,131.700039072,0.044931635,,,,,,
"San Antonio-New Braunfels",2019,2,134.386081905,0.045646824,,,,,,
"San Antonio-New Braunfels",2019,3,135.083314812,0.040641210,,,,,,
"San Antonio-New Braunfels",2019,4,135.066486382,0.041130055,,,,,,
"San Antonio-New Braunfels",2020,1,136.312462122,0.035022184,,,,,,
"San Antonio-New Braunfels",2020,2,139.101131688,0.035085849,,,,,,
"Sherman-Denison",2014,1,100.000000000,,,,,,,
"Sherman-Denison",2014,2,106.364012712,,,,,,,
"Sherman-Denison",2014,3,106.468563272,,,,,,,
"Sherman-Denison",2014,4,109.663878989,,,,,,,
"Sherman-Denison",2015,1,112.506747499,0.125067474,,,,,,
"Sherman-Denison",2015,2,114.292156575,0.074537840,,,,,,
"Sherman-Denison",2015,3,117.242728816,0.101195744,,,,,,
"Sherman-Denison",2015,4,123.071651024,0.122262427,,,,,,
"Sherman-Denison",2016,1,123.547508811,0.098134214,,,,,,
"Sherman-Denison",2016,2,126.447950505,0.106357201,,,,,,
"Sherman-Denison",2016,3,133.758341434,0.140866839,,,,,,
"Sherman-Denison",2016,4,125.692923263,0.021298749,,,,,,
"Sherman-Denison",2017,1,132.546487837,0.072838207,,,,,,
"Sherman-Denison",2017,2,134.068968183,0.060269997,,,,,,
"Sherman-Denison",2017,3,138.009934748,0.031785631,,,,,,
"Sherman-Denison",2017,4,143.446435997,0.141245125,,,,,,
"Sherman-Denison",2018,1,144.873674968,0.093002744,,,,,,
"Sherman-Denison",2018,2,148.281476269,0.106008931,,,,,,
"Sherman-Denison",2018,3,152.317510616,0.103670622,,,,,,
"Sherman-Denison",2018,4,150.089546405,0.046310738,,,,,,
"Sherman-Denison",2019,1,149.504255997,0.031962887,,,,,,
"Sherman-Denison",2019,2,158.303462364,0.067587579,,,,,,
"Sherman-Denison",2019,3,160.943241430,0.056629935,,,,,,
"Sherman-Denison",2019,4,158.756929594,0.057748080,,,,,,
"Sherman-Denison",2020,1,168.378001159,0.126242193,,,,,,
"Sherman-Denison",2020,2,166.986271220,0.054849140,,,,,,
